Kwota bazowa obowiązuje od:;Kwota w zł;Opublikowanew Monitorze Polskim
Od 1 marca 2025 r.;7140,52;M.P.2025.123
Od 1 marca 2024 r.;6246,13;M.P.2024.107
Od 1 marca 2023 r.;5 540,25;M.P.2023.172
Od 1 marca 2022 r.;4944,79;M.P.2022.178
Od 1 marca 2021 r.;4 512,41;M.P.2021.138
Od 1 marca 2020 r.;4 294,67;M.P.2020.173
Od 1 marca 2019 r.;4 003,88;M.P.2019.153
Od 1 marca 2018 r.;3 731,13;M.P.2018.188
Od 1 marca 2017 r.;3 536,87;M.P.2017.184
Od 1 marca 2016 r.;3 408,62;M.P.2016.147
Od 1 marca 2015 r.;3 308,33;M.P.2015.177
Od 1 marca 2014 r.;3 191,93;MP.2014.147
Od 1 marca 2013 r.;3 080,84;MP.2013.87
Od 1 marca 2012 r.;2 974,69;MP.2012.68
Od 1 marca 2011 r.;2 822,66;MP Nr 11, poz. 121 z 11.02.11
Od 1 marca 2010 r.;2 716,71;MP Nr 7, poz 68 z 12.02.10
Od 1 marca 2009 r.;2 578,26;MP Nr 9, poz. 113 z 10.02.09
Od 1 marca 2008 r.;2 275,37;MP Nr 13, poz. 140 z 20.02.08
Od 1 marca 2007 r.;2 059,92;MP Nr 12, poz. 126 z 13.02.07
Od 1 marca 2006 r.;1 977,20;MP Nr 12, poz. 160 z 20.02.06
Od 1 marca 2005 r.;1 903,03;MP Nr 10, poz. 206 z 21.02.05
Od 1 marca 2004 r.;1 829,24;MP Nr 9, poz. 138 18.02.04
Od 1 marca 2003 r.;1 862,62;MP Nr 9, poz. 137 z 20.02.03
Od 1 czerwca 2002 r.;1 775,89;MP Nr 19, poz. 342 z 23.05.02
Od 1 czerwca 2001 r.;1 683,27;MP Nr 15, poz. 247 z 15.05.01
Od 1 czerwca 2000 r.;1 540,20;MP Nr 14, poz. 313 z 22.05.00
Od 1 czerwca 1999 r.;1 327,44;MP Nr 17, poz. 239 z 11.05.99
