Rok/Miesiąc;Styczeń;Luty;Marzec;Kwiecień;Maj;Czerwiec;Lipiec;Sierpień;Wrzesień;Październik;Listopad;Grudzień
2025;837,6;846,6;829,9;802,7;;;;;;;;
2024;837,1;845,3;822,2;797,1;776,6;762,2;765,4;772,3;769,6;765,5;774,5;786,2
2023;857,6;864,8;846,9;821,9;802,3;783,5;782,4;782,5;776;770,4;773,4;788,2
2022;927,1;921,8;902,1;878;850,2;818;810,2;806,9;801,7;796;800,2;812,3
2021;1090,4;1099,5;1078,4;1053,8;1026,7;993,4;974,9;960,8;934,7;910,9;898,8;895,2
2020;922,2;919,9;909,4;965,8;1011,7;1026,5;1029,5;1028;1023,7;1018,4;1025,7;1046,4
2019;1023,1;1016,7;984,7;938,3;906;877,1;868,4;865,5;851,2;840,5;849,6;866,4
2018;1133,7;1126,7;1092,2;1042,5;1002,2;967,9;961,8;958,6;947,4;937,3;950,5;968,9
2017;1397,1;1383,4;1324,2;1252,7;1202,1;1151,6;1140;1136,1;1117,1;1069,5;1067,7;1081,7
2016;1647,5;1652,7;1600,5;1521,8;1456,9;1392,5;1361,5;1346,9;1324,1;1308;1313,6;1335,2
2015;1918,6;1918,7;1860,6;1782,2;1702,1;1622,3;1585,7;1563,5;1539,4;1516,9;1530,6;1563,3
2014;2260,7;2255,9;2182,2;2079;1986,7;1912,5;1878,5;1853,2;1821,9;1784,8;1799,8;1825,2
2013;2295,7;2336,7;2314,5;2255,7;2176,3;2109,1;2093,1;2083,2;2083,1;2075,2;2116;2157,9
2012;2121,5;2168,2;2141,9;2072,6;2013,9;1964,4;1953,2;1964,7;1979;1994,9;2058,1;2136,8
2011;2105;2150,2;2133,9;2043,5;1962,6;1883,3;1863,2;1855,3;1861,7;1867,6;1914,9;1982,7
2010;2052,5;2101,5;2076,7;1973,8;1907,9;1843,9;1812,8;1800,2;1812,6;1818,6;1858,3;1954,7
2009;1634,4;1718,8;1758,8;1719,9;1683,4;1658,7;1676,1;1689;1715,9;1744,3;1811,1;1892,7
2008;1813,4;1778,5;1702,2;1605,7;1525,6;1455,3;1422,9;1404,4;1376,6;1352,3;1398,5;1473,8
2007;2365,8;2331,1;2232,5;2103,1;1985,1;1895,1;1856,1;1821,9;1777,8;1720,9;1719,4;1746,6
2006;2866,7;2865,9;2822;2703,6;2583;2487,6;2443,4;2411,6;2363,6;2301,8;2287,3;2309,4
2005;3094,9;3094,5;3052,6;2957,8;2867,3;2827,4;2809;2783,3;2760,1;2712,1;2722,8;2773
2004;3293,2;3294,5;3265,8;3173,8;3092,5;3071,2;3042,4;3005,7;2970,9;2938,2;2942,6;2999,6
2003;3320,6;3344,2;3321;3246,1;3159,6;3134,6;3123;3099,1;3073,3;3073,3;3096,9;3175,7
2002;3253,3;3277,9;3259,9;3203,6;3064,6;3090,9;3105,3;3105,6;3112,6;3108,1;3150,8;3217
2001;2835,6;2876,9;2898,7;2878;2841,1;2849,2;2871,5;2892,6;2920,4;2944,3;3022,4;3115,1
2000;2476,1;2525,8;2531,7;2487,9;2445,4;2437,4;2477,6;2496,2;2528,8;2547,7;2613,1;2702,6
1999;2046,8;2146,6;2170,4;2122,2;2073,1;2074;2116,4;2143,6;2177,8;2186,8;2257,3;2349,8
1998;1893,3;1891,9;1845,7;1765,5;1695,4;1687,6;1683,1;1671;1676,7;1692,6;1743,4;1831,4
1997;2336,3;2312,5;2235,7;2131,7;2043,8;2039,9;1989;1928,9;1853,7;1791,7;1800,5;1826,4
1996;2718,1;2734;2726,8;2670,5;2567,9;2508,3;2466;2401,3;2341;2286;2306,7;2359,5
1995;2875,1;2832,2;2753,8;2689,7;2599,4;2684;2720,8;2690;2657,2;2596,4;2597,3;2628,8
1994;2954,7;2968,9;2950,1;2888,5;2842,5;2933;2982;2965,4;2915,7;2845,5;2830,6;2838
1993;2584;2626;2648,7;2642,5;2624;2701,8;2811,8;2829,6;2830;2809;2846,2;2889,6
1992;2211,8;2245,6;2216,4;2218,4;2228,6;2296,7;2409,1;2457,1;2498,5;2477,3;2490,1;2509,3
1991;1195,7;1258,9;1322,1;1370,1;1434,5;1574,1;1749,9;1854;1970,9;2040,4;2108,3;2155,6
1990;55,8;152,2;266,6;351,1;443,2;568,2;699,3;820,3;926,4;1008,4;1089,1;1126,1
