Rok;Przeciętne miesięczne wynagrodzenie w zł
1980;6 040
1981;7 689
1982;11 631
1983;14 475
1984;16 838
1985;20 005
1986;24 095
1987;29 184
1988;53 090
1989;206 758
1990;1 029 637
1991;1 770 000
1992;2 935 000
1993;3 995 000
1994;5 328 000
1995;702,62
1996;873
1997;1 061,93
1998;1 239,49
1999;1 706,74
2000;1 923,81
2001;2 061,85
2002;2 133,21
2003;2 201,47
2004;2 289,57
2005;2 380,29
2006;2 477,23
2007;2 691,03
2008;2 943,88
2009;3 102,96
2010;3 224,98
2011;3399,52
2012;3521,67
2013;3650,06
2014;3783,46
2015;3899,78
2016;4047,21
2017;4271,51
2018;4585,03
2019;4918,17
2020;5167,47
2021;5662,53
2022;6346,15
2023;7155,48
2024;8181,72
